wave,n
2.9129,2.15844013
2.9161,2.15842409
2.9194,2.15840804
2.9227,2.15839198
2.926,2.15837592
2.9293,2.15835985
2.9326,2.15834378
2.936,2.1583277
2.9393,2.15831162
2.9426,2.15829553
2.946,2.15827943
2.9493,2.15826333
2.9527,2.15824722
2.956,2.15823111
2.9594,2.15821499
2.9628,2.15819887
2.9662,2.15818274
2.9696,2.1581666
2.973,2.15815045
2.9764,2.1581343
2.9798,2.15811815
2.9833,2.15810198
2.9867,2.15808581
2.9901,2.15806963
2.9936,2.15805345
2.9971,2.15803726
3.0005,2.15802106
3.004,2.15800485
3.0075,2.15798864
3.011,2.15797242
3.0145,2.15795619
3.018,2.15793995
3.0215,2.15792371
3.025,2.15790746
3.0286,2.1578912
3.0321,2.15787493
3.0357,2.15785866
3.0392,2.15784237
3.0428,2.15782608
3.0464,2.15780978
3.0499,2.15779347
3.0535,2.15777715
3.0571,2.15776083
3.0607,2.15774449
3.0644,2.15772815
3.068,2.1577118
3.0716,2.15769543
3.0753,2.15767906
3.0789,2.15766268
3.0826,2.15764629
3.0863,2.15762989
3.0899,2.15761348
3.0936,2.15759706
3.0973,2.15758063
3.101,2.15756419
3.1047,2.15754774
3.1085,2.15753128
3.1122,2.15751481
3.1159,2.15749833
3.1197,2.15748184
3.1234,2.15746533
3.1272,2.15744882
3.131,2.1574323
3.1348,2.15741576
3.1386,2.15739921
3.1424,2.15738266
3.1462,2.15736609
3.15,2.15734951
3.1538,2.15733292
3.1577,2.15731631
3.1615,2.15729969
3.1654,2.15728306
3.1693,2.15726642
3.1731,2.15724977
3.177,2.15723311
3.1809,2.15721643
3.1848,2.15719974
3.1888,2.15718303
3.1927,2.15716632
3.1966,2.15714959
3.2006,2.15713285
3.2045,2.15711609
3.2085,2.15709933
3.2125,2.15708254
3.2164,2.15706575
3.2204,2.15704894
3.2244,2.15703211
3.2285,2.15701528
3.2325,2.15699843
3.2365,2.15698156
3.2406,2.15696468
3.2446,2.15694778
3.2487,2.15693087
3.2528,2.15691394
3.2569,2.156897
3.2609,2.15688005
3.2651,2.15686308
3.2692,2.15684609
3.2733,2.15682908
3.2774,2.15681207
3.2816,2.15679503
3.2857,2.15677798
3.2899,2.15676092
3.2941,2.15674383
3.2983,2.15672673
3.3025,2.15670962
3.3067,2.15669248
3.3109,2.15667533
3.3152,2.15665817
3.3194,2.15664098
3.3237,2.15662378
3.3279,2.15660656
3.3322,2.15658932
3.3365,2.15657206
3.3408,2.15655479
3.3451,2.1565375
3.3494,2.15652019
3.3538,2.15650285
3.3581,2.15648551
3.3625,2.15646814
3.3668,2.15645075
3.3712,2.15643335
3.3756,2.15641592
3.38,2.15639848
3.3844,2.15638102
3.3888,2.15636353
3.3933,2.15634602
3.3977,2.1563285
3.4022,2.15631096
3.4066,2.15629339
3.4111,2.1562758
3.4156,2.15625819
3.4201,2.15624056
3.4246,2.15622291
3.4292,2.15620524
3.4337,2.15618754
3.4383,2.15616983
3.4428,2.15615209
3.4474,2.15613433
3.452,2.15611655
3.4566,2.15609874
3.4612,2.15608091
3.4658,2.15606306
3.4705,2.15604518
3.4751,2.15602728
3.4798,2.15600936
3.4845,2.15599141
3.4892,2.15597344
3.4939,2.15595545
3.4986,2.15593742
3.5033,2.15591938
3.5081,2.15590131
3.5128,2.15588321
3.5176,2.15586509
3.5224,2.15584695
3.5271,2.15582878
3.532,2.15581058
3.5368,2.15579236
3.5416,2.1557741
3.5464,2.15575583
3.5513,2.15573752
3.5562,2.15571919
3.5611,2.15570083
3.566,2.15568244
3.5709,2.15566403
3.5758,2.15564559
3.5807,2.15562712
3.5857,2.15560862
3.5907,2.15559009
3.5956,2.15557153
3.6006,2.15555295
3.6056,2.15553434
3.6107,2.15551569
3.6157,2.15549701
3.6207,2.15547831
3.6258,2.15545957
3.6309,2.15544081
3.636,2.15542201
3.6411,2.15540318
3.6462,2.15538432
3.6513,2.15536543
3.6565,2.15534651
3.6617,2.15532755
3.6668,2.15530856
3.672,2.15528954
3.6772,2.15527049
3.6825,2.1552514
3.6877,2.15523228
3.693,2.15521313
3.6982,2.15519393
3.7035,2.15517471
3.7088,2.15515546
3.7141,2.15513616
3.7194,2.15511684
3.7248,2.15509747
3.7302,2.15507807
3.7355,2.15505864
3.7409,2.15503917
3.7463,2.15501966
3.7517,2.15500012
3.7572,2.15498053
3.7626,2.15496091
3.7681,2.15494126
3.7736,2.15492156
3.7791,2.15490183
3.7846,2.15488205
3.7901,2.15486224
3.7957,2.15484239
3.8013,2.1548225
3.8068,2.15480257
3.8124,2.1547826
3.818,2.15476259
3.8237,2.15474253
3.8293,2.15472244
3.835,2.15470231
3.8407,2.15468213
3.8464,2.15466191
3.8521,2.15464165
3.8578,2.15462134
3.8636,2.15460099
3.8693,2.1545806
3.8751,2.15456017
3.8809,2.15453969
3.8867,2.15451916
3.8926,2.15449859
3.8984,2.15447798
3.9043,2.15445732
3.9102,2.15443661
3.9161,2.15441585
3.922,2.15439506
3.928,2.1543742
3.9339,2.15435331
3.9399,2.15433236
3.9459,2.15431138
3.9519,2.15429034
3.9579,2.15426924
3.964,2.15424811
3.9701,2.15422692
3.9762,2.15420568
3.9823,2.15418439
3.9884,2.15416305
3.9945,2.15414165
4.0007,2.15412021
4.0069,2.15409871
4.0131,2.15407716
4.0193,2.15405556
4.0255,2.15403391
4.0318,2.15401219
4.0381,2.15399043
4.0444,2.15396861
4.0507,2.15394673
4.057,2.15392481
4.0634,2.15390282
4.0698,2.15388077
4.0762,2.15385867
4.0826,2.15383652
4.089,2.1538143
4.0955,2.15379202
4.102,2.15376969
4.1085,2.1537473
4.115,2.15372485
4.1215,2.15370233
4.1281,2.15367976
4.1347,2.15365712
4.1413,2.15363442
4.1479,2.15361166
4.1546,2.15358884
4.1612,2.15356595
4.1679,2.15354301
4.1746,2.15351999
4.1814,2.15349691
4.1881,2.15347377
4.1949,2.15345056
4.2017,2.15342728
4.2085,2.15340394
4.2154,2.15338053
4.2222,2.15335705
4.2291,2.1533335
4.236,2.15330989
4.243,2.1532862
4.2499,2.15326244
4.2569,2.15323861
4.2639,2.15321472
4.2709,2.15319075
4.278,2.1531667
4.285,2.15314259
4.2921,2.1531184
4.2993,2.15309413
4.3064,2.15306979
4.3136,2.15304538
4.3208,2.15302089
4.328,2.15299632
4.3352,2.15297168
4.3425,2.15294695
4.3498,2.15292215
4.3571,2.15289727
4.3644,2.15287231
4.3718,2.15284727
4.3791,2.15282215
4.3866,2.15279694
4.394,2.15277166
4.4015,2.15274628
4.4089,2.15272083
4.4164,2.1526953
4.424,2.15266967
4.4315,2.15264396
4.4391,2.15261817
4.4467,2.15259228
4.4544,2.15256631
4.4621,2.15254025
4.4697,2.1525141
4.4775,2.15248786
4.4852,2.15246153
4.493,2.1524351
4.5008,2.15240859
4.5086,2.15238198
4.5165,2.15235528
4.5244,2.15232848
4.5323,2.15230159
4.5402,2.1522746
4.5482,2.15224751
4.5562,2.15222032
4.5642,2.15219304
4.5722,2.15216566
4.5803,2.15213817
4.5884,2.15211059
4.5965,2.15208291
4.6047,2.15205511
4.6129,2.15202722
4.6211,2.15199922
4.6294,2.15197111
4.6377,2.15194291
4.646,2.15191459
4.6543,2.15188616
4.6627,2.15185763
4.6711,2.15182898
4.6795,2.15180022
4.688,2.15177135
4.6965,2.15174238
4.705,2.15171327
4.7136,2.15168407
4.7221,2.15165474
4.7308,2.15162529
4.7394,2.15159574
4.7481,2.15156605
4.7568,2.15153625
4.7655,2.15150634
4.7743,2.15147629
4.7831,2.15144613
4.792,2.15141584
4.8008,2.15138542
4.8097,2.15135488
4.8187,2.15132422
4.8277,2.15129342
4.8367,2.1512625
4.8457,2.15123144
4.8548,2.15120025
4.8639,2.15116893
4.873,2.15113748
4.8822,2.15110589
4.8914,2.15107417
4.9007,2.1510423
4.91,2.1510103
4.9193,2.15097816
4.9286,2.15094588
4.938,2.15091346
4.9474,2.15088089
4.9569,2.15084817
4.9664,2.15081532
4.9759,2.15078231
4.9855,2.15074915
4.9951,2.15071585
5.0047,2.1506824
5.0144,2.15064879
5.0241,2.15061503
5.0339,2.15058111
5.0437,2.15054703
5.0535,2.1505128
5.0634,2.15047842
5.0733,2.15044386
5.0832,2.15040914
5.0932,2.15037427
5.1033,2.15033922
5.1133,2.15030401
5.1234,2.15026863
5.1336,2.15023308
5.1438,2.15019736
5.154,2.15016147
5.1643,2.1501254
5.1746,2.15008916
5.1849,2.15005273
5.1953,2.15001614
5.2057,2.14997936
5.2162,2.14994239
5.2267,2.14990525
5.2373,2.14986792
5.2479,2.14983039
5.2585,2.14979268
5.2692,2.14975478
5.2799,2.14971668
5.2907,2.1496784
5.3015,2.14963992
5.3124,2.14960123
5.3233,2.14956235
5.3343,2.14952327
5.3453,2.14948397
5.3563,2.14944448
5.3674,2.14940477
5.3785,2.14936486
5.3897,2.14932474
5.4009,2.1492844
5.4122,2.14924385
5.4235,2.14920309
5.4349,2.14916209
5.4463,2.14912088
5.4578,2.14907945
5.4693,2.14903778
5.4809,2.1489959
5.4925,2.14895379
5.5042,2.14891143
5.5159,2.14886885
5.5276,2.14882603
5.5394,2.14878296
5.5513,2.14873966
5.5632,2.14869612
5.5752,2.14865232
5.5872,2.14860828
5.5993,2.14856398
5.6114,2.14851944
5.6235,2.14847464
5.6358,2.14842957
5.648,2.14838426
5.6604,2.14833867
5.6728,2.14829282
5.6852,2.1482467
5.6977,2.14820032
5.7103,2.14815364
5.7229,2.14810671
5.7355,2.14805949
5.7482,2.14801198
5.761,2.1479642
5.7738,2.14791613
5.7867,2.14786775
5.7997,2.14781909
5.8127,2.14777014
5.8257,2.14772088
5.8389,2.14767132
5.852,2.14762145
5.8653,2.14757128
5.8786,2.1475208
5.8919,2.14746999
5.9054,2.14741888
5.9188,2.14736744
5.9324,2.14731566
5.946,2.14726357
5.9597,2.14721115
5.9734,2.14715838
5.9872,2.14710529
6.0011,2.14705185
6.015,2.14699806
6.029,2.14694392
6.043,2.14688944
6.0571,2.14683458
6.0713,2.14677938
6.0856,2.14672382
6.0999,2.14666787
6.1143,2.14661157
6.1287,2.14655487
6.1433,2.14649781
6.1578,2.14644037
6.1725,2.14638252
6.1872,2.14632429
6.202,2.14626567
6.2169,2.14620663
6.2319,2.14614721
6.2469,2.14608737
6.262,2.14602711
6.2771,2.14596644
6.2924,2.14590535
6.3077,2.14584382
6.3231,2.14578187
6.3385,2.14571948
6.3541,2.14565664
6.3697,2.14559336
6.3854,2.14552964
6.4011,2.14546544
6.417,2.14540079
6.4329,2.14533567
6.4489,2.14527008
6.465,2.14520403
6.4811,2.14513747
6.4974,2.14507044
6.5137,2.14500291
6.5301,2.14493487
6.5466,2.14486634
6.5632,2.14479731
6.5798,2.14472773
6.5966,2.14465766
6.6134,2.14458705
6.6303,2.14451589
6.6473,2.14444421
6.6644,2.14437199
6.6816,2.14429919
6.6988,2.14422585
6.7162,2.14415195
6.7336,2.14407745
6.7512,2.14400239
6.7688,2.14392675
6.7865,2.14385049
6.8043,2.14377365
6.8223,2.14369619
6.8402,2.14361813
6.8583,2.14353944
6.8765,2.14346011
6.8948,2.14338016
6.9132,2.14329957
6.9317,2.1432183
6.9503,2.14313639
6.969,2.14305382
6.9877,2.14297054
7.0066,2.14288661
7.0256,2.14280198
7.0447,2.14271662
7.0639,2.14263058
7.0832,2.14254381
7.1026,2.1424563
7.1221,2.14236807
7.1417,2.14227909
7.1615,2.14218934
7.1813,2.14209884
7.2013,2.14200757
7.2213,2.14191548
7.2415,2.14182263
7.2618,2.14172894
7.2822,2.14163447
7.3027,2.14153917
7.3233,2.141443
7.3441,2.14134601
7.3649,2.14124817
7.3859,2.14114943
7.407,2.14104983
7.4282,2.14094934
7.4496,2.14084792
7.4711,2.1407456
7.4926,2.14064236
7.5144,2.14053816
7.5362,2.14043302
7.5582,2.14032692
7.5803,2.14021981
7.6025,2.14011173
7.6249,2.14000265
7.6474,2.13989252
7.67,2.13978139
7.6927,2.1396692
7.7156,2.13955593
7.7387,2.13944161
7.7618,2.13932616
7.7851,2.13920965
7.8086,2.139092
7.8322,2.13897319
7.8559,2.13885325
7.8798,2.13873215
7.9038,2.13860982
7.928,2.13848633
7.9523,2.13836161
7.9768,2.13823562
8.0014,2.13810841
8.0262,2.13797992
8.0511,2.13785011
8.0762,2.13771902
8.1014,2.1375866
8.1268,2.13745279
8.1524,2.13731764
8.1781,2.13718111
8.204,2.13704313
8.23,2.13690376
8.2562,2.13676293
8.2826,2.13662059
8.3091,2.13647678
8.3359,2.13633143
8.3628,2.13618456
8.3898,2.13603613
8.4171,2.13588607
8.4445,2.13573443
8.4721,2.13558115
8.4999,2.13542617
8.5278,2.13526954
8.556,2.13511118
8.5843,2.13495105
8.6128,2.13478917
8.6415,2.13462551
8.6704,2.13445996
8.6995,2.1342926
8.7288,2.13412336
8.7583,2.13395215
8.788,2.13377903
8.8179,2.13360393
8.848,2.13342678
8.8783,2.13324762
8.9088,2.13306638
8.9395,2.13288298
8.9704,2.13269747
9.0016,2.13250973
9.0329,2.13231982
9.0645,2.13212764
9.0963,2.13193311
9.1284,2.1317363
9.1606,2.1315371
9.1931,2.13133544
9.2258,2.13113136
9.2588,2.13092479
9.292,2.1307156
9.3254,2.13050388
9.359,2.13028952
9.393,2.13007242
9.4271,2.12985264
9.4615,2.12963008
9.4962,2.12940463
9.5311,2.12917635
9.5662,2.12894514
9.6017,2.12871087
9.6374,2.12847362
9.6733,2.12823321
9.7096,2.1279897
9.7461,2.12774297
9.7828,2.1274929
9.8199,2.12723955
9.8572,2.1269828
9.8949,2.1267225
9.9328,2.12645875
9.971,2.12619139
10.009,2.12592028
10.048,2.1256455
10.087,2.1253669
10.127,2.12508432
10.166,2.12479785
10.207,2.12450733
10.247,2.1242126
10.288,2.12391373
10.328,2.12361056
10.37,2.12330291
10.411,2.12299086
10.453,2.12267424
10.453,2.12267415
10.496,2.12235286
10.538,2.1220268
10.581,2.12169578
10.625,2.12135988
10.669,2.1210189
10.713,2.12067265
10.757,2.12032118
10.802,2.11996429
10.847,2.11960178
10.893,2.1192337
10.939,2.11885985
10.985,2.11847998
11.032,2.11809416
11.079,2.11770216
11.126,2.11730373
11.174,2.11689894
11.223,2.11648753
11.272,2.11606924
11.321,2.11564412
11.37,2.11521191
11.421,2.11477231
11.471,2.11432539
11.522,2.11387073
11.573,2.11340838
11.625,2.11293803
11.678,2.11245936
11.731,2.11197242
11.784,2.11147686
11.838,2.11097234
11.892,2.1104589
11.947,2.10993618
12.002,2.10940378
12.058,2.10886174
12.114,2.10830967
12.171,2.10774715
12.229,2.1071742
12.287,2.10659039
12.345,2.10599525
12.404,2.10538881
12.464,2.10477058
12.524,2.10414007
12.585,2.10349727
12.646,2.10284165
12.646,2.10284148
12.708,2.10217269
12.771,2.10149033
12.834,2.10079383
12.898,2.10008314
12.962,2.09935765
13.027,2.09861673
13.093,2.09786028
13.16,2.09708764
13.227,2.0962981
13.295,2.09549155
13.363,2.09466724
13.432,2.09382437
13.502,2.0929628
13.573,2.09208169
13.645,2.09118017
13.717,2.090258
13.79,2.08931428
13.863,2.08834801
13.938,2.08735891
14.013,2.08634595
14.013,2.08634567
14.089,2.08530799
14.166,2.08424469
14.244,2.08315486
14.244,2.08315458
14.323,2.08203725
14.403,2.08089142
14.483,2.07971568
14.564,2.07850953
14.647,2.07727149
14.73,2.07599999
14.814,2.07469433
14.899,2.07335287
14.985,2.07197374
15.072,2.07055616
15.161,2.06909813
15.25,2.06759752
15.34,2.06605335
15.431,2.06446325
15.524,2.0628248
15.617,2.0611367
15.712,2.05939616
15.808,2.05760034
15.905,2.05574756
16.003,2.0538346
16.102,2.05185795
16.203,2.04981558
16.305,2.04770297
16.408,2.04551764
16.512,2.0432552
16.618,2.0409109
16.726,2.03848151
16.834,2.03596162
16.944,2.03334538
17.056,2.03062852
17.169,2.02780441
17.283,2.02486569
17.399,2.02180679
17.517,2.01861922
17.636,2.01529362
17.757,2.01182258
17.879,2.00819505
18.003,2.00439901
18.129,2.00042407
18.257,1.99625589
18.386,1.99187813
18.518,1.98727652
18.651,1.9824299
18.786,1.97731984
18.923,1.97192159
19.062,1.96620681
19.203,1.96014807
19.347,1.95370882
19.492,1.94684672
19.64,1.9395182
19.79,1.93166601
19.942,1.92322174
20.097,1.91411058
20.254,1.90423436
20.413,1.89347306
20.575,1.88168817
20.74,1.86870012
20.907,1.85428752
21.077,1.83819372
21.25,1.82009824
21.425,1.79962445
21.604,1.77636268
21.785,1.74985715
21.97,1.71965456
22.158,1.68539718
22.349,1.6468881
22.543,1.60428297
22.741,1.5583951
22.942,1.51098966
23.147,1.46532789
23.355,1.42640592
23.568,1.40069289
23.784,1.39464302
24.004,1.41234304
24.229,1.45414163
24.457,1.51712936
24.69,1.59675563
24.927,1.68805566
25.169,1.78616035
25.416,1.88663105
25.668,1.98543619
25.925,2.07889617
26.186,2.16387018
26.454,2.23772536
26.726,2.29834119
27.005,2.34428526
27.289,2.37477645
27.579,2.3897141
27.876,2.38974066
28.179,2.37622409
28.488,2.35127481
28.805,2.31773584
29.129,2.27920108
29.46,2.23988574
29.798,2.20444686
30.145,2.17761252
30.499,2.16351995
30.863,2.16506605
31.234,2.1833831
31.615,2.21774787
32.006,2.26593534
32.406,2.32473197
32.816,2.39057028
33.237,2.45991129
33.668,2.5294423
34.111,2.59632452
34.566,2.65819943
35.033,2.71316893
35.513,2.75989362
36.006,2.79751876
36.513,2.82562792
37.035,2.84426475
37.572,2.8538236
38.124,2.85502821
38.693,2.84883845
39.28,2.83639043
39.884,2.81891115
