wave,n
1.3856,2.17725274
1.3863,2.17722796
1.3871,2.17720319
1.3878,2.17717844
1.3886,2.1771537
1.3893,2.17712898
1.3901,2.17710426
1.3908,2.17707957
1.3915,2.17705489
1.3923,2.17703021
1.393,2.17700556
1.3938,2.17698092
1.3945,2.1769563
1.3953,2.17693169
1.396,2.17690709
1.3968,2.1768825
1.3975,2.17685793
1.3983,2.17683337
1.3991,2.17680883
1.3998,2.1767843
1.4006,2.17675979
1.4013,2.17673528
1.4021,2.1767108
1.4028,2.17668632
1.4036,2.17666187
1.4044,2.17663742
1.4051,2.17661299
1.4059,2.17658857
1.4066,2.17656417
1.4074,2.17653978
1.4082,2.1765154
1.4089,2.17649104
1.4097,2.17646669
1.4105,2.17644236
1.4112,2.17641804
1.412,2.17639373
1.4128,2.17636944
1.4136,2.17634516
1.4143,2.17632089
1.4151,2.17629664
1.4159,2.17627241
1.4166,2.17624818
1.4174,2.17622398
1.4182,2.17619978
1.419,2.1761756
1.4197,2.17615143
1.4205,2.17612727
1.4213,2.17610313
1.4221,2.17607901
1.4229,2.17605489
1.4236,2.17603079
1.4244,2.17600671
1.4252,2.17598263
1.426,2.17595858
1.4268,2.17593454
1.4276,2.1759105
1.4283,2.17588649
1.4291,2.17586248
1.4299,2.17583849
1.4307,2.17581452
1.4315,2.17579056
1.4323,2.17576661
1.4331,2.17574267
1.4339,2.17571875
1.4347,2.17569485
1.4355,2.17567096
1.4363,2.17564707
1.4371,2.17562321
1.4379,2.17559936
1.4387,2.17557552
1.4395,2.17555169
1.4403,2.17552788
1.4411,2.17550408
1.4419,2.1754803
1.4427,2.17545653
1.4435,2.17543277
1.4443,2.17540903
1.4451,2.1753853
1.4459,2.17536158
1.4467,2.17533788
1.4475,2.17531419
1.4483,2.17529051
1.4491,2.17526686
1.4499,2.17524321
1.4507,2.17521957
1.4515,2.17519595
1.4524,2.17517234
1.4532,2.17514875
1.454,2.17512517
1.4548,2.1751016
1.4556,2.17507805
1.4564,2.17505452
1.4573,2.17503099
1.4581,2.17500748
1.4588,2.17498599
1.4589,2.17498398
1.4597,2.17496049
1.4605,2.17493702
1.4614,2.17491356
1.4622,2.17489012
1.463,2.17486669
1.4638,2.17484327
1.4647,2.17481986
1.4655,2.17479647
1.4663,2.17477309
1.4672,2.17474973
1.468,2.17472638
1.4688,2.17470304
1.4696,2.17467972
1.4705,2.17465641
1.4713,2.17463311
1.4721,2.17460983
1.473,2.17458656
1.4738,2.1745633
1.4747,2.17454006
1.4755,2.17451683
1.4763,2.17449362
1.4772,2.17447041
1.478,2.17444723
1.4789,2.17442405
1.4797,2.17440089
1.4806,2.17437774
1.4814,2.1743546
1.4822,2.17433148
1.4831,2.17430837
1.4839,2.17428527
1.4848,2.17426219
1.4856,2.17423912
1.4865,2.17421607
1.4874,2.17419303
1.4882,2.17416999
1.4891,2.17414698
1.4899,2.17412398
1.4908,2.17410099
1.4916,2.17407802
1.4925,2.17405505
1.4933,2.1740321
1.4942,2.17400917
1.4951,2.17398625
1.4959,2.17396333
1.4968,2.17394044
1.4977,2.17391756
1.4985,2.17389469
1.4994,2.17387183
1.5003,2.17384899
1.5011,2.17382616
1.502,2.17380334
1.5029,2.17378054
1.5037,2.17375775
1.5046,2.17373497
1.5055,2.17371221
1.5064,2.17368946
1.5072,2.17366672
1.5081,2.173644
1.509,2.17362129
1.5099,2.17359859
1.5108,2.1735759
1.5116,2.17355323
1.5125,2.17353058
1.5134,2.17350793
1.5143,2.1734853
1.5152,2.17346268
1.5161,2.17344007
1.5169,2.17341748
1.5178,2.17339491
1.5187,2.17337233
1.5196,2.17334978
1.5205,2.17332724
1.5214,2.17330472
1.5223,2.17328221
1.5232,2.17325971
1.5241,2.17323722
1.525,2.17321474
1.5259,2.17319228
1.5268,2.17316983
1.5277,2.1731474
1.5286,2.17312497
1.5295,2.17310256
1.5304,2.17308017
1.5313,2.17305778
