wavelength,neff
0.012421052631579,0.99978449785889
0.012342105263158,0.99978762828914
0.012263157894737,0.99979072752372
0.012184210526316,0.99979380097453
0.012105263157895,0.99979685257915
0.012026315789474,0.99979988551905
0.011947368421053,0.9998029025585
0.011868421052632,0.99980590628869
0.011789473684211,0.99980889925185
0.011710526315789,0.99981188412887
0.011631578947368,0.99981486383716
0.011552631578947,0.99981784163695
0.011473684210526,0.99982082137754
0.011394736842105,0.99982380774687
0.011315789473684,0.99982680681505
0.011236842105263,0.99982982743913
0.011157894736842,0.99983288969283
0.011078947368421,0.99983873680445
